PLAYER_NAME;MIN;FGM;FGA;FG3M;FG3A;FTM;FTA;OREB;DREB;REB;AST;TOV;STL;BLK;BLKA;PF;PFD;PTS;DD2;TD3;PACE;PIE;POSS
AJ Green;487.6;62;130;56;118;5;6;4;46;50;22;15;12;2;0;45;12;185;0;0;2290.9900000000002;1.617;1003
AJ Johnson;10.7;3;6;1;1;0;0;0;2;2;1;2;0;0;1;0;0;7;0;0;599.12;7.903;28
Aaron Gordon;326.3;54;102;16;34;33;42;21;45;66;39;17;6;3;7;17;35;157;2;0;1158.04;1.149;701
Aaron Holiday;145.16;21;45;15;34;7;9;0;15;15;20;5;2;1;0;7;9;64;0;0;1642.51;2.082;321
Aaron Nesmith;136.22;19;36;6;11;11;13;4;20;24;6;5;4;2;3;24;12;55;0;0;596.96;0.443;280
Aaron Wiggins;488.61;87;193;35;89;12;15;24;61;85;37;21;22;7;16;30;16;221;0;0;2429.45;2.5540000000000003;1024
Adam Flagler;40.03;5;20;5;19;0;0;2;4;6;0;0;2;0;0;4;0;15;0;0;1032.41;0.03200000000000007;80
Adama Sanogo;13.73;3;5;0;0;0;0;2;0;2;1;1;0;0;1;1;1;6;0;0;316.03;0.139;32
Adem Bona;90.42;8;13;0;0;5;6;8;16;24;0;6;0;6;3;15;5;21;0;0;1577.29;3.123;190
Ajay Mitchell;383.07;55;115;13;31;12;15;10;26;36;41;19;21;2;9;43;34;135;0;0;2417.2200000000003;1.044;802
Al Horford;512.19;63;134;41;99;6;6;16;79;95;43;19;14;17;1;30;9;173;1;0;1794.94;1.573;1062
Alec Burks;180.78;21;46;15;32;6;8;4;19;23;16;2;6;3;0;5;7;63;0;0;1196.12;1.1260000000000001;375
Alex Caruso;320.09;37;94;14;51;5;7;10;38;48;37;13;30;10;7;36;17;93;0;0;1662.82;1.532;692
Alex Ducas;7.27;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;411.89;-0.501;16
Alex Len;128.96;12;22;0;4;2;4;8;25;33;15;6;3;11;2;15;8;26;0;0;3510.67;1.33;274
Alex Reese;1.88;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;89.2;0.556;4
Alexandre Sarr;536.39;80;209;22;88;29;44;42;84;126;40;28;15;37;11;54;30;211;2;0;2109.08;1.416;1175
Alondes Williams;3.72;2;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;90.4;0.4;7
